RowIndex,OldUniqueKey,OldCostCode,OldItemId,OldName,NewUniqueKey,NewCostCode,NewItemId,NewName
77,03-100-30-20|38936049,03-100-30-20,38936049,Slab On Grade Wood Forms,03-150-10-35|51482207,03-150-10-35,51482207,Vapor Barrier 6 mil 20'x100'
78,03-200-30-10|38936050,03-200-30-10,38936050,Slab on Grade Rebar Labor,03-150-10-45|51482208,03-150-10-45,51482208,"Viper Tape 4"" x 180'"
79,03-200-30-20|38936051,03-200-30-20,38936051,#4 Rebar - 20' Pc,03-150-10-45|51482209,03-150-10-45,51482209,Vapor Barrier 15 mil Viper II Class A Roll (14'x140')
80,03-200-30-20|38936052,03-200-30-20,38936052,#3 Rebar - 20' Pc,03-150-10-35|51482210,03-150-10-35,51482210,Vapor Barrier 10 mil 20'x100'
81,03-200-30-20|38936053,03-200-30-20,38936053,#5 Rebar - 20' Pc,03-150-10-45|51482211,03-150-10-45,51482211,Vapor Barrier 20 mil 14'x105'
82,03-200-30-20|38936054,03-200-30-20,38936054,#6 Rebar - 20' Pc,03-150-10-05|51482201,03-150-10-05,51482201,"Dumbbell Waterstop Type DB-2 PVC 6""X 3/8""X 50'"
83,03-200-30-20|38936055,03-200-30-20,38936055,#7 Rebar - 20' Pc,03-150-10-05|51482202,03-150-10-05,51482202,Box Expand-Tite 100 (100' per carton)
84,03-200-30-20|38936056,03-200-30-20,38936056,#8 Rebar - 20' Pc,03-150-10-05|51482203,03-150-10-05,51482203,Box Expand-Tite 200 (100' per carton)
85,03-200-30-20|38936057,03-200-30-20,38936057,#9 Rebar - 20' Pc,03-150-10-05|51482204,03-150-10-05,51482204,"Water Stop Type 3A Ribbed 4""x 3/16"" x 50'"
86,03-200-30-20|38936058,03-200-30-20,38936058,#11 Rebar - 20' Pc,03-150-10-05|51482205,03-150-10-05,51482205,"Water Stop Type 3A Ribbed 4""x 3/16"" x 100'"
87,03-200-30-20|38936059,03-200-30-20,38936059,#10 Rebar - 20' Pc,03-150-10-05|51482206,03-150-10-05,51482206,"Water Stop Type 4B Ribbed - w/Center bulb - Tapered 6""x 3/16"" x 50'"
88,03-300-20-30|38982897,03-300-20-30,38982897,Telehandler 8000 lb (In-House),03-150-10-10|51482388,03-150-10-10,51482388,Labor Waterstop
89,03-300-20-40|38982898,03-300-20-40,38982898,Telehandler 8000 lb (Rental),03-200-50-30|51482251,03-200-50-30,51482251,"Heavy Duty SOG Chair 2-1/2"" - 3"""
90,03-300-20-30|38982899,03-300-20-30,38982899,Telehandler 8000 lb (In-House),03-200-50-30|51482252,03-200-50-30,51482252,"Heavy Duty SOG Chair 1 1/2"" - 2"""
91,03-300-20-40|38982900,03-300-20-40,38982900,Scissor Lift Rental,03-200-50-30|51482253,03-200-50-30,51482253,"2"" Popcorn Brick Chairs"
92,03-300-20-30|38984120,03-300-20-30,38984120,Somero S-15R (boom screed) (8 hr minimum),03-200-50-30|51482254,03-200-50-30,51482254,"Chairs 1.5"" (5' section)"
93,03-300-20-30|38984121,03-300-20-30,38984121,Somero SRS4 (boom screed) (8 hr minimum),03-200-50-30|51482255,03-200-50-30,51482255,"Chairs 3/4"" (5' section)"
94,03-300-20-30|38984122,03-300-20-30,38984122,Somero S-840 (8 hr minimum),03-200-50-30|51482256,03-200-50-30,51482256,"Chairs 2"" (5' section)"
95,03-300-20-30|38984123,03-300-20-30,38984123,Somero Power Rake (8 hr minimum),03-200-50-30|51482257,03-200-50-30,51482257,"Chairs 3"" (5' section)"
96,03-300-20-30|38984124,03-300-20-30,38984124,Somero 3D Profiler (with or without screed),03-200-50-30|51482258,03-200-50-30,51482258,"Chairs 4"" (5' section)"
97,03-300-20-30|38984125,03-300-20-30,38984125,Topping spreader (attachment on the SRS4 machine),03-200-50-20|51482264,03-200-50-20,51482264,Wire Mesh 6 ga (2.9x2.9 6x6) 5'x10' Sheet
98,03-300-20-50|39582179,03-300-20-50,39582179,Slab on Grade Subcontractor,03-200-50-20|51482265,03-200-50-20,51482265,Wire Mesh 8 ga (2.1x2.1 6x6) 5'x10' Sheet
99,03-300-20-30|39583304,03-300-20-30,39583304,Tower Light,03-200-50-20|51482266,03-200-50-20,51482266,Wire Mesh 10 ga (1.4x1.4 6x6) 5'x10' Sheet
100,03-300-20-30|39583305,03-300-20-30,39583305,Concrete Buggy,03-200-50-20|51482267,03-200-50-20,51482267,Wire Mesh 6 ga  (2.9x2.9 6x6) 8'x15' Sheet
101,03-300-20-30|39591872,03-300-20-30,39591872,Hydro 8' Rideon Trowler,03-200-50-20|51482268,03-200-50-20,51482268,Wire Mesh 4 ga (4.0x4.0 6x6) 5'x10' Sheet
102,03-300-20-30|39591873,03-300-20-30,39591873,Hydro 10' Rideon Trowler,03-200-50-20|51482269,03-200-50-20,51482269,Wire Mesh 4 ga (4.0x4.0 4x4) 5'x10' Sheet
103,03-300-20-30|39591874,03-300-20-30,39591874,8' Rideon Trowler,03-300-00-20|51482132,03-300-00-20,51482132,Foundation Concrete
104,03-300-20-30|39591875,03-300-20-30,39591875,6' Rideon Trowler,03-100-10-20|51482133,03-100-10-20,51482133,Foundation Wood Forms
105,03-300-20-70|45852711,03-300-20-70,45852711,Non Contracted Labor,03-100-10-20|51482134,03-100-10-20,51482134,Foundation Aluminum Forms
106,03-300-30-30|36804312,03-300-30-30,36804312,Somero S-15R (boom screed) (8 hr minimum),03-100-10-40|51482135,03-100-10-40,51482135,Foundation Form Rentals
107,03-300-30-30|36804326,03-300-30-30,36804326,Somero SRS4 (boom screed) (8 hr minimum),03-200-10-20|51482136,03-200-10-20,51482136,#4 Rebar - 20' Pc
